OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENCE
OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET
ROBBERY,AGGRAVATED,SIDEWALK
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,CHA PARKING LOT/GROUNDS
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE
THEFT,ATTEMPT THEFT,OTHER
ARSON,BY FIRE,"SCHOOL, PUBLIC, GROUNDS"
OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,CHA APARTMENT
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE
ASSAULT,PRO EMP HANDS NO/MIN INJURY,ALLEY
BURGLARY,ATTEMPT FORCIBLE ENTRY,OTHER RAILROAD PROP / TRAIN DEPOT
THEFT,ATTEMPT THEFT,SMALL RETAIL STORE
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE
CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE
DECEPTIVE PRACTICE,COUNTERFEIT CHECK,COMMERCIAL / BUSINESS OFFICE
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER
NARCOTICS,POSS: SYNTHETIC DRUGS,STREET
OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,VEHICLE NON-COMMERCIAL
THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET
MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",OTHER
CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,PARK PROPERTY
ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK
THEFT,PURSE-SNATCHING,RESTAURANT
MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE
CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE
BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING"
DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESIDENCE
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER
ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SMALL RETAIL STORE
ROBBERY,ATTEMPT: ARMED-HANDGUN,DRIVEWAY - RESIDENTIAL
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET
BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,STREET
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",DRIVEWAY - RESIDENTIAL
DECEPTIVE PRACTICE,FORGERY,APARTMENT
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE
DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,OTHER
LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,RESTAURANT
PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE
CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE PORCH/HALLWAY
SEX OFFENSE,PUBLIC INDECENCY,CTA PLATFORM
THEFT,DELIVERY CONTAINER THEFT,STREET
DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,RESIDENCE
CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,PARK PROPERTY
BATTERY,PRO EMP HANDS NO/MIN INJURY,CTA STATION
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE
SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,ALLEY
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE PORCH/HALLWAY
DECEPTIVE PRACTICE,FORGERY,BANK
ROBBERY,ATTEMPT: ARMED-OTHER FIREARM,ALLEY
MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET
THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE
SEX OFFENSE,PUBLIC INDECENCY,PARK PROPERTY
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE
NARCOTICS,MANU/DELIVER:CRACK,PARKING LOT/GARAGE(NON.RESID.)
ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE
PUBLIC PEACE VIOLATION,BOMB THREAT,RESIDENCE
NARCOTICS,MANU/DELIVER:COCAINE,RESIDENCE
OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,VEHICLE NON-COMMERCIAL
BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,CHA APARTMENT
DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM
DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM
ROBBERY,AGGRAVATED,STREET
ARSON,BY FIRE,VEHICLE NON-COMMERCIAL
THEFT,PURSE-SNATCHING,SIDEWALK
ROBBERY,ARMED: OTHER DANGEROUS WEAPON,PARKING LOT/GARAGE(NON.RESID.)
DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,OTHER
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
DECEPTIVE PRACTICE,"THEFT BY LESSEE,NON-VEH",OTHER
OTHER OFFENSE,LICENSE VIOLATION,COMMERCIAL / BUSINESS OFFICE
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE
BATTERY,AGGRAVATED OF A SENIOR CITIZEN,RESIDENCE
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET
CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,PARK PROPERTY
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,PARK PROPERTY
THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,RESIDENCE
THEFT,PURSE-SNATCHING,STREET
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE
DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,BAR OR TAVERN
DECEPTIVE PRACTICE,FORGERY,OTHER
NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK
BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING"
CRIMINAL TRESPASS,TO VEHICLE,STREET
NARCOTICS,POSS: SYNTHETIC DRUGS,STREET
BATTERY,AGGRAVATED PO: OTHER DANG WEAP,RESIDENCE PORCH/HALLWAY
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE
CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE
ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CHA PARKING LOT/GROUNDS
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CHA PARKING LOT/GROUNDS
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE
MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
BURGLARY,ATTEMPT FORCIBLE ENTRY,CHA APARTMENT
OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,RESIDENCE
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET
CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE
HOMICIDE,FIRST DEGREE MURDER,STREET
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE
CRIMINAL TRESPASS,TO RESIDENCE,RESIDENTIAL YARD (FRONT/BACK)
BURGLARY,ATTEMPT FORCIBLE ENTRY,OTHER
NARCOTICS,POSS: COCAINE,SIDEWALK
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,VEHICLE NON-COMMERCIAL
MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",RESIDENCE
INTIMIDATION,INTIMIDATION,STREET
MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,STREET
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,SMALL RETAIL STORE
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENTIAL YARD (FRONT/BACK)
SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CTA BUS
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,"SCHOOL, PUBLIC, BUILDING"
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,ALLEY
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE
DECEPTIVE PRACTICE,BOGUS CHECK,BANK
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,CURRENCY EXCHANGE
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",OTHER
THEFT,ATTEMPT THEFT,SIDEWALK
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,PARKING LOT/GARAGE(NON.RESID.)
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE
THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT
DECEPTIVE PRACTICE,IMPERSONATION,RESIDENCE
DECEPTIVE PRACTICE,FORGERY,RESIDENCE
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE
DECEPTIVE PRACTICE,BOGUS CHECK,GROCERY FOOD STORE
DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESTAURANT
LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,STREET
ROBBERY,AGGRAVATED,SIDEWALK
ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET
ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET
THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,RESIDENCE
THEFT,ATTEMPT THEFT,RESTAURANT
THEFT,POCKET-PICKING,SIDEWALK
THEFT,PURSE-SNATCHING,CTA BUS STOP
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.)
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET
MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET
MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY
MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY
ARSON,BY FIRE,DRIVEWAY - RESIDENTIAL
DECEPTIVE PRACTICE,FORGERY,BANK
DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESTAURANT
DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE)
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE
DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,STREET
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,ALLEY
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,OTHER
CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,GOVERNMENT BUILDING/PROPERTY
CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET
CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,SIDEWALK
WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,STREET
WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,CTA BUS STOP
WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,RESIDENCE
WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,"SCHOOL, PUBLIC, BUILDING"
NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET
NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK
NARCOTICS,POSS: COCAINE,RESIDENCE
NARCOTICS,POSS: PCP,SIDEWALK
NARCOTICS,ALTER/FORGE PRESCRIPTION,SMALL RETAIL STORE
NARCOTICS,FORFEIT PROPERTY,RESIDENCE
NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK
OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE PORCH/HALLWAY
LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,GROCERY FOOD STORE
LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,CONVENIENCE STORE
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SPORTS ARENA/STADIUM
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ALLEY
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"SCHOOL, PUBLIC, GROUNDS"
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK
PUBLIC PEACE VIOLATION,PEEPING TOM,RESIDENCE
INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,POLICE FACILITY/VEH PARKING LOT
CRIMINAL TRESPASS,TO VEHICLE,STREET
CRIMINAL TRESPASS,TO VEHICLE,OTHER
CRIMINAL TRESPASS,TO VEHICLE,STREET
CRIMINAL TRESPASS,TO VEHICLE,STREET
CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE
CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE
OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE
OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,DAY CARE CENTER
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"SCHOOL, PUBLIC, BUILDING"
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"SCHOOL, PUBLIC, BUILDING"
INTIMIDATION,INTIMIDATION,OTHER
KIDNAPPING,KIDNAPPING,RESIDENCE
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,GAS STATION
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE
OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,RESIDENCE
OTHER OFFENSE,OTHER CRIME AGAINST PERSON,SIDEWALK
OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,WAREHOUSE
OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,ALLEY
NON-CRIMINAL,LOST PASSPORT,CTA TRAIN
HOMICIDE,FIRST DEGREE MURDER,ALLEY
HOMICIDE,FIRST DEGREE MURDER,APARTMENT
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,GROCERY FOOD STORE
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,ALLEY
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,ALLEY
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,CHA PARKING LOT/GROUNDS
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,ALLEY
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,OTHER RAILROAD PROP / TRAIN DEPOT
BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,SIDEWALK
BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,SIDEWALK
BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,PARKING LOT/GARAGE(NON.RESID.)
BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE
BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,STREET
ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA BUS
BATTERY,AGG PO HANDS NO/MIN INJURY,PARK PROPERTY
BATTERY,AGG PO HANDS NO/MIN INJURY,RESIDENCE
BATTERY,OF UNBORN CHILD,RESIDENCE
BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING"
ROBBERY,ARMED: OTHER DANGEROUS WEAPON,STREET
ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET
MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,OTHER
DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,SIDEWALK
DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,STREET
THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE
DECEPTIVE PRACTICE,COUNTERFEIT CHECK,OTHER
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE
BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET
GAMBLING,GAME/DICE,ALLEY
CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,HOTEL/MOTEL
CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE
CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL
ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING"
ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING"
MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET
MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET
ARSON,ATTEMPT ARSON,APARTMENT
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
GAMBLING,GAME/DICE,SIDEWALK
OTHER OFFENSE,OBSCENE TELEPHONE CALLS,RESIDENCE
OTHER OFFENSE,PROBATION VIOLATION,STREET
OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET
HOMICIDE,FIRST DEGREE MURDER,STREET
CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,STREET
CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET
CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE
WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,CHA PARKING LOT/GROUNDS
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,"SCHOOL, PUBLIC, BUILDING"
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE
NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,CHA PARKING LOT/GROUNDS
INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,RESIDENCE
BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING"
BATTERY,AGGRAVATED OF A SENIOR CITIZEN,STREET
BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,STREET
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET
ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING"
MOTOR VEHICLE THEFT,"ATT: TRUCK, BUS, MOTOR HOME",STREET
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE
CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE
OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE
NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,BARBERSHOP
NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK
NARCOTICS,POSS: COCAINE,STREET
OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK
DECEPTIVE PRACTICE,FORGERY,BANK
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA PLATFORM
NARCOTICS,POSS: COCAINE,STREET
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESTAURANT
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET
